datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300063/s1_r1/audacity/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300093/s1_r1/eeg/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,sub-3300001_all_eeg_s1_r1_e1,3300001.0,eeg,0,s1_r1,EEG error,"Incorrect DataFile sub-3300003_all_eeg_s1_r1_e1.eeg in .vmrk file, expected sub-3300001_all_eeg_s1_r1_e1.eeg"
2025-09-24_13-41,llaplace,sub-3300001_all_eeg_s1_r1_e1,3300001,eeg,0,s1_r1,EEG error,"Incorrect DataFile sub-3300003_all_eeg_s1_r1_e1.eeg in .vmrk file, expected sub-3300001_all_eeg_s1_r1_e1.eeg"
2025-09-24_13-40,llaplace,sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300001.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1.log found
2025-09-24_13-40,llaplace,sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300001.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1.csv found
2025-09-24_13-40,llaplace,sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300001.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1.psydat found
2025-09-24_13-41,llaplace,sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300001,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1.log found
2025-09-24_13-41,llaplace,sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300001,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1.csv found
2025-09-24_13-41,llaplace,sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300001,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1.psydat found
2025-09-24_13-40,llaplace,sub-3300001_evtppvt_qassess_s1_r1_e1,3300001.0,qassess,0,s1_r1,Unexpected file,Unexpected file sub-3300001_info_qassess_s1_r1_e1.txt found
2025-09-24_13-41,llaplace,sub-3300001_evtppvt_qassess_s1_r1_e1,3300001,qassess,0,s1_r1,Unexpected file,Unexpected file sub-3300001_info_qassess_s1_r1_e1.txt found
2025-09-24_13-40,llaplace,sub-3300001_info_qassess_s1_r1_e1,3300001.0,qassess,0,s1_r1,Unexpected file,Unexpected file sub-3300001_evtppvt_qassess_s1_r1_e1.csv found
2025-09-24_13-41,llaplace,sub-3300001_info_qassess_s1_r1_e1,3300001,qassess,0,s1_r1,Unexpected file,Unexpected file sub-3300001_evtppvt_qassess_s1_r1_e1.csv found
2025-09-24_13-40,llaplace,sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1,3300001.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1.csv found
2025-09-24_13-40,llaplace,sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1,3300001.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1.log found
2025-09-24_13-40,llaplace,sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1,3300001.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1.psydat found
2025-09-24_13-41,llaplace,sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1,3300001,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1.csv found
2025-09-24_13-41,llaplace,sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1,3300001,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1.log found
2025-09-24_13-41,llaplace,sub-3300001_reading-ranger-v2-1_psychopy_s1_r1_e1,3300001,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300001_arrow-alert-nf-v1-2_psychopy_s1_r1_e1.psydat found
2025-09-24_13-40,llaplace,sub-3300002_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300002.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300002_reading-ranger-v2-1_psychopy_s1_r1_e1.log found
2025-09-24_13-40,llaplace,sub-3300002_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300002.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300002_reading-ranger-v2-1_psychopy_s1_r1_e1.csv found
2025-09-24_13-40,llaplace,sub-3300002_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300002.0,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300002_reading-ranger-v2-1_psychopy_s1_r1_e1.psydat found
2025-09-24_13-41,llaplace,sub-3300002_arrow-alert-nf-v1-2_psychopy_s1_r1_e1,3300002,psychopy,0,s1_r1,Unexpected file,Unexpected file sub-3300002_reading-ranger-v2-1_psychopy_s1_r1_e1.log found
